DATAFLOW,LAST UPDATE,freq,unit,nace_r2,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FR,2016,16388,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FR,2017,14167,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FR,2018,15025,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FR,2019,15524,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FR,2020,471,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HR,2011,708,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HR,2012,621,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HR,2013,549,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HR,2014,509,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HR,2015,632,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HR,2016,629,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HR,2017,666,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HR,2018,704,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HR,2019,596,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HR,2020,560,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HU,2011,644,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HU,2012,878,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HU,2013,688,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HU,2014,751,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HU,2015,757,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HU,2016,979,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HU,2017,701,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HU,2018,609,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HU,2019,665,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,HU,2020,727,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IE,2011,382,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IE,2012,554,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IE,2013,2064,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IE,2014,1968,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IE,2015,1888,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IE,2016,1097,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IE,2017,846,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IE,2018,1116,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IE,2019,948,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IE,2020,351,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IS,2011,24,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IS,2012,71,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IS,2013,88,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IS,2014,62,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IS,2015,71,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IS,2016,44,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IS,2017,55,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IS,2018,47,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IS,2019,45,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IS,2020,51,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IT,2011,39896,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IT,2012,35995,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IT,2013,33703,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IT,2014,32537,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IT,2015,31095,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IT,2016,29222,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IT,2017,27661,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IT,2018,26707,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IT,2019,26055,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,IT,2020,22284,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LT,2011,122,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LT,2012,122,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LT,2013,131,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LT,2014,158,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LT,2015,146,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LT,2016,134,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LT,2017,166,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LT,2018,154,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LT,2019,190,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,LT,2020,158,b
